window_id,video_id,video_filename,tester_name,project,start_time,end_time,silence_ratio,narration_density,words_per_minute,avg_silence_duration,avg_confidence,unique_words_ratio,avg_sentence_length
terryaflint17_wa_w045,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,2953.83,3014.09,1.6045816436724987,-1.6045816436724984,-0.637979140320148,0.4515083516391527,-0.8914988230971564,0.9801788521453906,-0.47155228712367786
terryaflint17_wa_w046,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3014.83,3076.979,1.5643413819842076,-1.5643413819842071,-0.6156374534828456,0.2621280683493977,-0.05537250422363605,0.8387618393498948,-0.3733654645899105
terryaflint17_wa_w047,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3100.149,3171.36,2.3804421278028842,-2.380442127802884,-1.1644127667816084,1.5374654340090388,-0.8980911462420192,1.1395535808514259,-0.6750024599413942
terryaflint17_wa_w048,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3175.12,3235.62,1.3846721433935039,-1.3846721433935039,-0.43531684441893626,0.29388957731252746,-0.2685242859075566,0.6946324632137445,-0.3211760724323223
terryaflint17_wa_w049,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3237.469,3298.159,0.8170726627376078,-0.8170726627376078,-0.2575600354838976,0.032939214324664456,-0.31906543001817605,0.24431836233196863,-0.26146786954016654
terryaflint17_wa_w050,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3302.03,3362.53,0.608458674511467,-0.6084586745114667,-0.07211182616224675,0.055769703972825865,-1.3057164606994123,0.568181198200929,-0.1398400488339231
terryaflint17_wa_w051,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3363.489,3426.08,0.7485936209171826,-0.7485936209171823,-0.16501905940370581,0.08865902083579792,-0.9013873078144519,0.9162840745459712,-0.35066160472474506
terryaflint17_wa_w052,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3429.389,3496.33,1.3641990277977065,-1.3641990277977065,-0.6754594564898299,0.2813617652358995,-2.2374314651734526,1.2598702774520385,-0.3733654645899105
terryaflint17_wa_w053,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3497.229,3560.57,2.024633498137994,-2.0246334981379936,-0.9435596985374567,0.714775293015881,-1.7474021114052665,0.6784535134814644,-0.5290490750939021
terryaflint17_wa_w054,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3572.56,3634.09,1.9335634322118613,-1.9335634322118613,-0.8809297239607571,1.0448877134292156,-1.6507147052806015,1.2730299161427308,-0.5452661178547346
terryaflint17_wa_w055,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3638.04,3698.56,1.7951934095644044,-1.7951934095644035,-0.7262471161855553,0.6524105642840544,-0.4608003776327414,1.2107409596734555,-0.5777002033763994
terryaflint17_wa_w056,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3699.209,3765.32,2.1414714509346986,-2.1414714509346986,-0.9427050984944999,1.2663038373334132,-0.41355539509455336,1.2324066836627683,-0.5047235109526533
terryaflint17_wa_w057,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3765.989,3827.85,1.6314084847980261,-1.631408484798026,-0.5998883955483539,0.43026288930968876,-0.5959430021024428,0.23488064165480624,-0.363635238933411
terryaflint17_wa_w058,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3831.82,3893.219,1.1001664335622525,-1.1001664335622525,-0.4502113023104711,0.13191197785948408,-0.2663268448592678,0.6056482396862075,-0.4354892130121763
terryaflint17_wa_w059,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3894.199,3980.909,1.761306873405843,-1.7613068734058428,-0.7681225182904441,0.8003058056363629,-1.3848243384377739,1.007725101551372,-0.4579435799117905
terryaflint17_wa_w060,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,3986.51,4050.58,1.4725653465547717,-1.4725653465547714,-0.5263927918540592,0.40343935007019355,-0.9035847488627394,0.4540454884911453,-0.40742125438765864
terryaflint17_wa_w061,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4051.5,4113.83,2.0581670495449034,-2.058167049544903,-1.0058234159528894,1.128772236141819,-1.4672283777485684,1.617258359788727,-0.5359992362771159
terryaflint17_wa_w062,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4116.649,4177.0,1.8273150219647065,-1.8273150219647065,-0.8091433203523761,0.5295404657904118,0.03801874032859626,-0.19017292922043919,-0.4912093086519596
terryaflint17_wa_w063,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4177.508,4237.649,1.0599261718739614,-1.0599261718739612,-0.2952845230944244,0.2235997119872136,-1.655109587377178,0.5550677336810815,-0.4864793378467168
terryaflint17_wa_w064,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4242.52,4303.22,0.8488412903862588,-0.8488412903862588,-0.01631865192920242,0.060707673696460226,-1.8199176659987655,-0.116694280713794,-0.17352159918334442
terryaflint17_wa_w065,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4303.91,4380.209,1.945211929016367,-1.9452119290163665,-0.8859352384980761,0.7387335905638848,-1.780363727129584,0.8137808303099373,-0.5423175646254923
terryaflint17_wa_w066,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4382.979,4443.399,2.2332474863641347,-2.2332474863641347,-1.0644245617556494,1.5550226596930719,0.506073683613904,1.2730299161427308,-0.6194011704756829
terryaflint17_wa_w067,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4444.52,4507.379,1.2244170661436427,-1.2244170661436427,-0.43861315887034147,0.15230396394041865,-0.7376779497170082,0.5749640246767127,-0.49985839812440364
terryaflint17_wa_w068,terryaflint17_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_terryaflint17.mp4,terryaflint17,department-of-premier-and-cabinet-wa,4509.129,4574.2,2.036281994942499,-2.036281994942499,-0.9683430997832073,1.043394129994289,-1.487005347183159,0.9905567414564819,-0.5412118571645264
