window_id,video_id,video_filename,tester_name,project,start_time,end_time,silence_ratio,narration_density,words_per_minute,avg_silence_duration,avg_confidence,unique_words_ratio,avg_sentence_length
ghum_wa_w032,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2253.28,2317.77,0.0099,0.9901,225.15,0.128,0.9861,0.49173553719008267,10.083333333333334
ghum_wa_w033,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2318.29,2380.02,0.0,1.0,220.64,0.0,0.9193,0.5947136563876652,10.318181818181818
ghum_wa_w034,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2381.149,2444.739,0.0368,0.9632,194.37,0.2336,0.9584,0.6067961165048543,12.117647058823529
ghum_wa_w035,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2445.409,2511.79,0.0,1.0,151.85,0.0,0.9798,0.6428571428571429,14.0
ghum_wa_w036,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2512.649,2581.26,0.0177,0.9823,168.78,0.2432,0.9663,0.5129533678756477,10.722222222222221
ghum_wa_w037,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2581.6,2653.11,0.0117,0.9883,156.06,0.1189,0.9543,0.6720430107526881,15.5
ghum_wa_w038,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2654.25,2718.31,0.0005,0.9995,187.32,0.032,0.9692,0.55,10.526315789473685
ghum_wa_w039,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2718.87,2803.06,0.0099,0.9901,225.92,0.104,0.9619,0.4605678233438486,8.128205128205128
ghum_wa_w040,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2803.689,2870.75,0.0124,0.9876,177.15,0.1664,0.9629,0.6666666666666666,8.25
ghum_wa_w041,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2872.25,2932.669,0.0207,0.9793,288.98,0.104,0.9639,0.47766323024054985,12.652173913043478
ghum_wa_w042,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2933.53,3006.02,0.0358,0.9642,259.07,0.1525,0.9618,0.5271565495207667,14.227272727272727
ghum_wa_w043,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3006.459,3066.479,0.0096,0.9904,166.94,0.192,0.9446,0.6826347305389222,9.277777777777779
ghum_wa_w044,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3067.25,3152.56,0.0169,0.9831,227.87,0.12,0.9772,0.5339506172839507,10.8
ghum_wa_w045,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3152.87,3213.8,0.0247,0.9753,296.41,0.096,0.9762,0.5780730897009967,14.333333333333334
ghum_wa_w046,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3214.0,3278.06,0.0075,0.9925,222.92,0.0533,0.9843,0.5252100840336135,15.866666666666667
ghum_wa_w047,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3279.139,3344.02,0.044,0.956,196.98,0.2191,0.9671,0.647887323943662,16.384615384615383
ghum_wa_w048,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3344.669,3407.52,0.0398,0.9602,234.84,0.1783,0.9676,0.524390243902439,11.714285714285714
